madrid,conference,EvoStar 2022,40.445567409749565, -3.7300067758450948
supaero,visit,SPECIES Scholarship 2023,43.56621714986546, 1.4744669121915057
trieste,home,PhD student in ERALLab since 2021,45.65885954789761, 13.79538312596178
aber,conference,EvoStar 2024,52.41665206380215, -4.06382479387961
boston,conference,GECCO 2022,42.34910421377203, -71.0417660941764
brno,conference,EvoStar 2023,49.20227869652327, 16.60256114635708
cmc,conference,CMC 2022,45.65863658087102, 13.794129618339534
cwi,visit,Internship at CWI 2022,52.356469479074136, 4.951975910152564
frccs,conference,FRCCS 2024,43.63536421802564, 3.841472525961746
lisbon,conference,GECCO 2023,38.72095252142905, -9.1502213736714
mit,visit,Visit at MIT,42.36167898656163, -71.09011595302115
moraira,conference,SPECIES Summer School 2022,38.688448421398995, 0.12588377812273766
teml,conference,TEML 2024,43.60666397110449, 1.4367910666159223
melbourne,conference,GECCO 2024,-37.81449025499635, 144.9612593280488
singapore,conference,ACM ASEAN School on HPC and AI, 1.2835751542679046, 103.85916014095187
